,from,to,exchange,lta
0,AT,CZ,0.0,349.0
24,AT,DE,0.0,4819.0
48,AT,HU,698.6,400.0
72,AT,SI,685.9,599.0
96,BE,DE,0.0,400.0
120,BE,FR,2363.1,450.0
144,BE,NL,8.8,619.0
168,CZ,AT,1275.0,300.0
192,CZ,DE,153.9,950.0
216,CZ,PL,198.8,0.0
240,CZ,SK,594.7,800.0
264,DE,AT,1121.1,4820.0
288,DE,BE,805.7,400.0
312,DE,CZ,0.0,320.0
336,DE,FR,2991.6,1000.0
360,DE,NL,637.3,1081.0
384,DE,PL,44.8,0.0
408,FR,BE,0.0,1600.0
432,FR,DE,0.0,1170.0
456,HR,HU,225.5,600.0
480,HR,SI,212.8,650.0
504,HU,AT,0.0,500.0
528,HU,HR,0.0,700.0
552,HU,RO,525.6,470.0
576,HU,SI,0.0,200.0
600,HU,SK,0.0,850.0
624,NL,BE,0.0,619.0
648,NL,DE,0.0,1080.0
672,PL,CZ,0.0,0.0
696,PL,DE,0.0,0.0
720,PL,SK,396.0,0.0
744,RO,HU,0.0,630.0
768,SI,AT,0.0,599.0
792,SI,HR,0.0,650.0
816,SI,HU,12.7,200.0
840,SK,CZ,0.0,700.0
864,SK,HU,1378.8,850.0
888,SK,PL,0.0,0.0
912,FR,ES,0.0,0.0
936,ES,FR,3283.0,0.0
960,DK1,DE,0.0,0.0
984,DE,DK1,1728.7,0.0
