zone,MCP,NetPos,NetPosFB,NetPosLTA
ALBE,805.7,805.7000000025,3463.9853715715976,-1.0746412447461936e-8
ALDE,-805.7,-805.7000000025,-3463.985371571598,1.074647167883014e-8
AT,-1011.6,-1011.5999999989745,770.7786995980308,-5120.000000134342
BE,1566.2,1566.2000000018559,6683.640174854606,50.00000004646731
CZ,2222.4,2222.4000000075935,8454.87289270407,1100.000000136526
DE,5446.6,5446.600000005568,16115.833467118096,7301.000000257877
HR,438.3,438.30000000324804,1234.4046025922023,650.0000000740523
HU,-1790.0,-1790.0000000048854,-7315.83444831586,-380.0000001007841
FR,-5354.7,-5354.700000003144,-21571.723307541724,-1450.0000001454628
NL,-646.1,-646.1000000031441,-1696.8092943774707,-1081.0000001159626
RO,-525.6,-525.6000000049618,-1789.7377576319602,-469.99999998931276
SI,-886.0,-886.0000000021223,-3159.223084507901,-650.0000000131012
SK,388.1,388.09999999861265,1618.5772901780308,49.999999985568515
PL,152.4,152.40000000035474,655.2207653298798,-1.5252981063216825e-9
